,Day,Month,Year,1St,hundredth,tenth,oneth,sum
291,16,9,2551,12377,3,7,7,18
292,1,9,2551,695993,9,9,3,22
293,16,8,2551,380377,3,7,7,18
294,1,8,2551,850348,3,4,8,16
295,16,7,2551,257374,3,7,4,15
296,1,7,2551,943671,6,7,1,14
297,16,6,2551,729111,1,1,1,3
298,1,6,2551,414875,8,7,5,21
299,16,5,2551,329231,2,3,1,6
300,2,5,2551,453011,0,1,1,2
301,16,4,2551,982800,8,0,0,8
302,1,4,2551,12653,6,5,3,14
303,16,3,2551,74946,9,4,6,20
304,1,3,2551,936685,6,8,5,20
305,16,2,2551,137054,0,5,4,9
306,1,2,2551,212684,6,8,4,19
307,16,1,2551,556010,0,1,0,1
308,30,12,2550,595411,4,1,1,6
309,16,12,2550,513501,5,0,1,6
310,1,12,2550,113410,4,1,0,5
311,16,11,2550,562481,4,8,1,13
312,1,11,2550,927907,9,0,7,16
313,16,10,2550,32988,9,8,8,26
314,1,10,2550,430667,6,6,7,20
315,16,9,2550,499336,3,3,6,12
316,1,9,2550,331810,8,1,0,9
317,16,8,2550,476207,2,0,7,9
318,1,8,2550,429924,9,2,4,15
319,16,7,2550,527384,3,8,4,16
320,1,7,2550,565151,1,5,1,7
321,16,6,2550,393194,1,9,4,15
322,1,6,2550,836393,3,9,3,16
323,16,5,2550,232897,8,9,7,25
324,2,5,2550,430374,3,7,4,15
325,16,4,2550,405105,1,0,5,6
326,1,4,2550,622780,7,8,0,15
327,16,3,2550,876763,7,6,3,16
328,1,3,2550,742425,4,2,5,11
329,16,2,2550,277859,8,5,9,23
330,1,2,2550,769925,9,2,5,16
331,16,1,2550,838739,7,3,9,20
332,30,12,2549,778584,5,8,4,18
333,16,12,2549,147977,9,7,7,24
334,1,12,2549,270052,0,5,2,7
335,16,11,2549,562856,8,5,6,20
336,1,11,2549,910957,9,5,7,22
337,16,10,2549,264825,8,2,5,15
338,1,10,2549,952335,3,3,5,11
339,16,9,2549,217948,9,4,8,22
340,1,9,2549,381761,7,6,1,14
341,16,8,2549,977486,4,8,6,19
342,1,8,2549,238654,6,5,4,15
343,16,7,2549,512434,4,3,4,11
344,1,7,2549,952890,8,9,0,17
345,16,6,2549,100935,9,3,5,17
346,1,6,2549,810850,8,5,0,13
347,16,5,2549,100344,3,4,4,11
348,2,5,2549,24554,5,5,4,14
349,16,4,2549,38564,5,6,4,16
350,1,4,2549,738365,3,6,5,15
351,16,3,2549,936177,1,7,7,16
352,1,3,2549,582473,4,7,3,15
353,16,2,2549,317009,0,0,9,9
354,1,2,2549,412729,7,2,9,19
355,16,1,2549,432747,7,4,7,19
356,30,12,2548,492955,9,5,5,20
357,16,12,2548,449565,5,6,5,17
358,1,12,2548,388551,5,5,1,11
359,16,11,2548,742518,5,1,8,14
360,1,11,2548,970577,5,7,7,20
361,16,10,2548,41072,0,7,2,9
362,1,10,2548,766482,4,8,2,15
363,16,9,2548,214768,7,6,8,22
364,1,9,2548,316933,9,3,3,15
365,16,8,2548,475560,5,6,0,11
366,1,8,2548,961633,6,3,3,12
367,16,7,2548,477452,4,5,2,11
368,1,7,2548,9554,5,5,4,14
369,16,6,2548,793070,0,7,0,7
370,1,6,2548,176893,8,9,3,21
371,16,5,2548,867134,1,3,4,8
372,2,5,2548,772467,4,6,7,18
373,16,4,2548,119327,3,2,7,12
374,1,4,2548,815753,7,5,3,15
375,16,3,2548,196345,3,4,5,12
376,1,3,2548,800751,7,5,1,13
377,16,2,2548,816422,4,2,2,8
378,1,2,2548,540054,0,5,4,9
379,16,1,2548,335022,0,2,2,4
380,30,12,2547,168858,8,5,8,22
381,16,12,2547,479372,3,7,2,12
382,1,12,2547,504658,6,5,8,20
